concessionaria;ano;indice_de_acidentes_por_milhao_de_trem_km
EFC;2006;7,4341957894177515
EFC;2007;4,495110799547551
EFC;2008;6,753152033711736
EFC;2009;5,5001514159330975
EFC;2010;4,984965929224041
EFC;2011;4,202332906011259
EFC;2012;3,9180265585879
EFC;2013;3,4750357773549543
EFC;2014;4,128711362395818
EFC;2015;3,8357606209197783
EFC;2016;2,9651423994300385
EFC;2017;2,6679823631120185
EFC;2018;1,8142443082826603
EFC;2019;1,73
EFPO;2006;0
EFPO;2007;5,911126217322556
EFPO;2008;22,806577416927045
EFPO;2009;4,018485031143259
EFPO;2010;4,469493472304784
EFPO;2011;4,947457996081614
EFPO;2012;12,3767482156855
EFPO;2013;12,3108741951766
EFPO;2014;3,0236327132870517
EFPO;2015;11,495772429688984
EFPO;2016;3,009691205682297
EFPO;2017;7,094060143441896
EFPO;2018;12,399409788094086
EFPO;2019;7,99
EFVM;2006;5,861694163594859
EFVM;2007;4,141626143992443
EFVM;2008;2,991390031641428
EFVM;2009;4,0387625144331185
EFVM;2010;3,6411887151329467
EFVM;2011;2,8153995048092733
EFVM;2012;2,72467865913114
EFVM;2013;2,669499697938694
EFVM;2014;2,727881954242508
EFVM;2015;2,234100188222941
EFVM;2016;2,6632121308182715
EFVM;2017;2,163483461333891
EFVM;2018;2,3795001978809363
EFVM;2019;2,12
FCA;2006;20,53973094602975
FCA;2007;17,888430886782906
FCA;2008;18,061454483165235
FCA;2009;22,76362233392985
FCA;2010;23,862273001318165
FCA;2011;24,25157245672764
FCA;2012;25,183246006152874
FCA;2013;24,69489457749505
FCA;2014;26,13542936523687
FCA;2015;21,273717593711304
FCA;2016;23,047771445128195
FCA;2017;23,291172159999643
FCA;2018;24,665141795660865
FCA;2019;19,12
FNSTC;2006;0
FNSTC;2007;0
FNSTC;2008;0
FNSTC;2009;0
FNSTC;2010;0
FNSTC;2011;0
FNSTC;2012;0
FNSTC;2013;0
FNSTC;2014;0
FNSTC;2015;107,43446497636442
FNSTC;2016;0
FNSTC;2017;0
FNSTC;2018;0
FNSTC;2019;0
FNSTN;2006;0
FNSTN;2007;0
FNSTN;2008;14,073654470672265
FNSTN;2009;2,7062720561172577
FNSTN;2010;8,12993258253406
FNSTN;2011;15,37633581917429
FNSTN;2012;7,93617201388301
FNSTN;2013;9,849467307976427
FNSTN;2014;18,583560981955365
FNSTN;2015;3,682508819608623
FNSTN;2016;8,054292374034896
FNSTN;2017;6,696705109474387
FNSTN;2018;7,437978877999481
FNSTN;2019;3,73
FTC;2006;10,15706203594923
FTC;2007;15,270031418089644
FTC;2008;9,997767165333075
FTC;2009;11,505185003374855
FTC;2010;9,66192910076426
FTC;2011;13,783407534010557
FTC;2012;3,8926106571894574
FTC;2013;10,67319391770256
FTC;2014;8,66410979159928
FTC;2015;5,74158283955721
FTC;2016;18,72045677914541
FTC;2017;30,11614794390366
FTC;2018;29,575395899535668
FTC;2019;38,79
FTL;2006;149,71681444015226
FTL;2007;114,45936040346629
FTL;2008;174,12219041650437
FTL;2009;167,82174748544008
FTL;2010;196,65138214734648
FTL;2011;196,4276483663141
FTL;2012;114,26984771139922
FTL;2013;81,56353857093788
FTL;2014;47,77151838188313
FTL;2015;70,40713854272046
FTL;2016;66,39441206622786
FTL;2017;61,206447079092335
FTL;2018;62,43167854046515
FTL;2019;46,94
MRS;2006;6,979903544643809
MRS;2007;6,334314877652392
MRS;2008;6,269744750169237
MRS;2009;6,589516696702737
MRS;2010;6,938440942505087
MRS;2011;8,20394275226122
MRS;2012;9,193239788391498
MRS;2013;6,9274334032426825
MRS;2014;7,143873595790319
MRS;2015;8,186282593356696
MRS;2016;6,354280855601911
MRS;2017;7,210491359270616
MRS;2018;7,39406941732038
MRS;2019;8,36
RMN;2006;68,49284890597694
RMN;2007;19,953350852573923
RMN;2008;11,799857558862325
RMN;2009;21,559325658788314
RMN;2010;10,624302322216039
RMN;2011;5,813858421646449
RMN;2012;5,7267657577988
RMN;2013;4,714579365229034
RMN;2014;5,020606001488969
RMN;2015;6,227009075289153
RMN;2016;3,476279893834412
RMN;2017;3,097785950425512
RMN;2018;2,7659514146804254
RMN;2019;2,45
RMO;2006;261,34675684286185
RMO;2007;67,5307214007395
RMO;2008;46,656788169187635
RMO;2009;27,200362671502287
RMO;2010;26,42252747477672
RMO;2011;23,687357986334163
RMO;2012;27,422915394660116
RMO;2013;23,076591720734267
RMO;2014;22,51024870683856
RMO;2015;40,17206245731719
RMO;2016;19,37266989831501
RMO;2017;23,218835807572606
RMO;2018;22,640884521138823
RMO;2019;27,02
RMP;2006;33,67235590147516
RMP;2007;26,04667827086784
RMP;2008;26,896855613166174
RMP;2009;27,510691849115158
RMP;2010;23,5844340684328
RMP;2011;20,506614223522096
RMP;2012;24,213252209067324
RMP;2013;21,0874901702408
RMP;2014;15,765809810062922
RMP;2015;23,431628118955402
RMP;2016;16,053731840470054
RMP;2017;12,130477381823333
RMP;2018;15,111211718200684
RMP;2019;16,18
RMS;2006;13,820109236978302
RMS;2007;10,347690242106692
RMS;2008;15,599552321915851
RMS;2009;16,959980100290014
RMS;2010;17,40351498573713
RMS;2011;15,69617893514533
RMS;2012;16,107454855777107
RMS;2013;17,435122484250137
RMS;2014;17,37854657840157
RMS;2015;29,247117044414754
RMS;2016;23,13207224340006
RMS;2017;22,623917442736445
RMS;2018;19,016754900319782
RMS;2019;22,82
